Geography,Total - Structural type of dwelling,Single-detached house,"Apartment, building that has five or more storeys",Movable dwelling,Other dwelling,Semi-detached house,Row house,"Apartment, duplex","Apartment, building that has fewer than five storeys",Other single-attached house
Canada (01)   20000,12435520.0,6871315.0,1114925.0,163515.0,4285760.0,591590.0,690495.0,676290.0,2289390.0,38000.0
Newfoundland and Labrador / Terre-Neuve-et-Labrador (10)   00000,197245.0,145780.0,780.0,1485.0,49200.0,8280.0,9540.0,19875.0,10735.0,770.0
Division No. 1 (1001)   00000,97025.0,62900.0,600.0,450.0,33070.0,4240.0,6320.0,15795.0,6345.0,370.0
Portugal Cove South (1001105) T 01000,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010734,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trepassey (1001113) T 00000,310.0,295.0,0.0,0.0,15.0,0.0,0.0,5.0,10.0,5.0
10010735,195.0,190.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
10010736,115.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
St. Shott's (1001120) T 00000,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010733,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Division No. 1, Subd. U (1001124) SNO 01010",640.0,630.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,5.0
10010737,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010741,285.0,275.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,5.0
10010743,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Broyle (1001126) T 01000,215.0,210.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
10010742,210.0,210.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Renews-Cappahayden (1001131) T 01000,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010740,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fermeuse (1001136) T 00000,115.0,115.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
10010738,115.0,115.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Port Kirwan (1001140) T 01010,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010739,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquaforte (1001144) T 01010,50.0,45.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
10010745,50.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
Ferryland (1001149) T 00000,200.0,195.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
10010744,205.0,195.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
"Division No. 1, Subd. W (1001155) SNO 02020",230.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010724,235.0,225.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0
St. Vincent's-St. Stephen's-Peter's River (1001169) T 01000,155.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010731,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaskiers-Point La Haye (1001174) T 01000,130.0,125.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
10010730,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Mary's (1001178) T 00000,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010729,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverhead (1001181) T 00000,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10010728,85.0,80.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
Admirals Beach (1001186) T 00000,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010725,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Joseph's (1001192) T 01000,65.0,55.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
10010727,65.0,55.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
Mount Carmel-Mitchells Brook-St. Catherines (1001197) T 01010,175.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010726,175.0,170.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
"Division No. 1, Subd. X (1001203) SNO 01020",225.0,215.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0
10010722,220.0,215.0,0.0,5.0,10.0,0.0,0.0,5.0,5.0,0.0
