id,DAUID,Division code,Division name,Population,Total population 15 years and over by labour force activity,Employed,Unemployed,Employment rate,Unemployment rate
0,3519,3519,York,892712.0,709555.0,472940.0,27120.0,66.7,5.4
2,35190002,3519,York,790.0,635.0,490.0,25.0,77.2,4.9
3,35190003,3519,York,384.0,340.0,205.0,0.0,60.3,0.0
4,35190004,3519,York,687.0,555.0,385.0,10.0,69.4,2.5
5,35190005,3519,York,408.0,325.0,215.0,15.0,66.2,6.5
6,35190006,3519,York,190.0,175.0,135.0,0.0,77.1,0.0
9,35190009,3519,York,598.0,520.0,395.0,10.0,76.0,2.5
11,35190011,3519,York,385.0,310.0,160.0,25.0,51.6,13.5
12,35190012,3519,York,489.0,450.0,155.0,0.0,34.4,0.0
13,35190013,3519,York,709.0,575.0,395.0,25.0,68.7,6.0
15,35190015,3519,York,815.0,585.0,375.0,25.0,64.1,6.3
16,35190016,3519,York,278.0,245.0,140.0,0.0,57.1,0.0
17,35190017,3519,York,333.0,255.0,185.0,10.0,72.5,5.1
18,35190018,3519,York,1026.0,835.0,425.0,10.0,50.9,2.3
19,35190019,3519,York,483.0,380.0,225.0,10.0,59.2,4.3
20,35190020,3519,York,455.0,275.0,185.0,20.0,67.3,9.5
21,35190021,3519,York,384.0,305.0,140.0,10.0,45.9,6.7
22,35190022,3519,York,383.0,320.0,200.0,10.0,62.5,4.7
26,35190026,3519,York,1133.0,805.0,635.0,10.0,78.9,1.6
27,35190027,3519,York,603.0,425.0,365.0,15.0,85.9,3.9
28,35190028,3519,York,502.0,350.0,255.0,20.0,72.9,7.3
29,35190029,3519,York,772.0,620.0,355.0,10.0,57.3,2.7
30,35190030,3519,York,492.0,375.0,225.0,15.0,60.0,6.4
31,35190031,3519,York,513.0,390.0,260.0,15.0,66.7,5.6
32,35190032,3519,York,444.0,345.0,205.0,25.0,59.4,10.9
33,35190033,3519,York,377.0,300.0,205.0,10.0,68.3,4.7
34,35190034,3519,York,494.0,430.0,230.0,20.0,53.5,8.0
35,35190035,3519,York,307.0,270.0,160.0,10.0,59.3,6.2
36,35190036,3519,York,731.0,595.0,380.0,25.0,63.9,6.1
37,35190037,3519,York,451.0,330.0,185.0,30.0,56.1,14.3
41,35190041,3519,York,565.0,480.0,315.0,30.0,65.6,8.7
42,35190042,3519,York,707.0,605.0,385.0,40.0,63.6,9.4
43,35190043,3519,York,755.0,615.0,425.0,15.0,69.1,3.4
44,35190044,3519,York,621.0,485.0,360.0,10.0,74.2,2.7
45,35190045,3519,York,1433.0,1140.0,765.0,40.0,67.1,5.0
46,35190046,3519,York,1886.0,1355.0,975.0,80.0,72.0,7.6
47,35190047,3519,York,429.0,330.0,255.0,10.0,77.3,3.8
48,35190048,3519,York,656.0,470.0,390.0,0.0,83.0,0.0
49,35190049,3519,York,564.0,450.0,320.0,25.0,71.1,7.2
50,35190050,3519,York,621.0,485.0,370.0,15.0,76.3,3.9
51,35190051,3519,York,563.0,435.0,315.0,20.0,72.4,5.9
52,35190052,3519,York,2377.0,1725.0,1200.0,75.0,69.6,5.9
53,35190053,3519,York,470.0,370.0,285.0,0.0,77.0,0.0
54,35190054,3519,York,642.0,510.0,275.0,40.0,53.9,12.7
55,35190055,3519,York,575.0,450.0,340.0,30.0,75.6,8.1
56,35190056,3519,York,867.0,590.0,360.0,60.0,61.0,14.5
57,35190057,3519,York,500.0,415.0,260.0,35.0,62.7,12.1
58,35190058,3519,York,531.0,410.0,280.0,20.0,68.3,6.7
59,35190059,3519,York,294.0,250.0,130.0,10.0,52.0,7.4
61,35190061,3519,York,372.0,305.0,225.0,10.0,73.8,4.3
62,35190062,3519,York,510.0,400.0,275.0,15.0,68.8,5.3
65,35190065,3519,York,2324.0,1695.0,1345.0,75.0,79.4,5.3
66,35190066,3519,York,522.0,445.0,265.0,45.0,59.6,14.8
67,35190067,3519,York,780.0,625.0,470.0,30.0,75.2,6.0
68,35190068,3519,York,534.0,420.0,265.0,20.0,63.1,7.0
69,35190069,3519,York,508.0,415.0,320.0,10.0,77.1,3.0
70,35190070,3519,York,353.0,310.0,190.0,0.0,61.3,0.0
71,35190071,3519,York,955.0,730.0,605.0,15.0,82.9,2.4
72,35190072,3519,York,1064.0,770.0,600.0,25.0,77.9,4.0
73,35190073,3519,York,478.0,365.0,245.0,0.0,67.1,0.0
74,35190074,3519,York,579.0,440.0,265.0,10.0,60.2,3.6
75,35190075,3519,York,475.0,350.0,255.0,10.0,72.9,3.8
76,35190076,3519,York,591.0,490.0,340.0,0.0,69.4,0.0
77,35190077,3519,York,488.0,355.0,265.0,15.0,74.6,5.4
78,35190078,3519,York,494.0,380.0,275.0,15.0,72.4,5.2
79,35190079,3519,York,1031.0,800.0,555.0,20.0,69.4,3.4
80,35190080,3519,York,505.0,435.0,305.0,20.0,70.1,6.3
81,35190081,3519,York,424.0,315.0,255.0,15.0,81.0,5.7
