DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35190002,790,77.2,103164297.42138381,320.0
35190003,384,60.3,8643037.318449434,165.0
35190004,687,69.4,13845524.270083806,280.0
35190005,408,66.2,4648813.360367522,160.0
35190006,190,77.1,5444083.153228644,70.0
35190009,598,76.0,5574693.448042742,235.0
35190011,385,51.6,5010399.796945659,145.0
35190012,489,34.4,1291852.0442797157,240.0
35190013,709,68.7,1043537.2695889378,260.0
35190015,815,64.1,5281636.203649005,270.0
35190016,278,57.1,225587.53132556455,100.0
35190017,333,72.5,110456.92927069725,120.0
35190018,1026,50.9,4436090.601189139,430.0
35190019,483,59.2,460109.0750523856,190.0
35190020,455,67.3,259021.24447768764,120.0
35190021,384,45.9,142162.53127701997,180.0
35190022,383,62.5,2661639.211531901,150.0
35190026,1133,78.9,362711.20251833857,340.0
35190027,603,85.9,177205.41898226604,170.0
35190028,502,72.9,252337.68345174222,140.0
35190029,772,57.3,1393854.1857211292,340.0
35190030,492,60.0,169166.9898024534,175.0
35190031,513,66.7,129946.48168297534,170.0
35190032,444,59.4,205190.27345508905,175.0
35190033,377,68.3,136987.46189255328,145.0
35190034,494,53.5,12071040.893035235,200.0
35190035,307,59.3,147812.42924595604,125.0
35190036,731,63.9,661356.4190822573,260.0
35190037,451,56.1,204148.12172736772,155.0
35190041,565,65.6,5631035.892695059,225.0
35190042,707,63.6,4870514.465815601,285.0
35190043,755,69.1,5745141.091244818,300.0
35190044,621,74.2,7251475.7398426095,235.0
35190045,1433,67.1,5025091.705030471,505.0
35190046,1886,72.0,1362546.294332393,640.0
35190047,429,77.3,151128.95042408624,140.0
35190048,656,83.0,174629.11736681344,200.0
35190049,564,71.1,302825.57044849824,175.0
35190050,621,76.3,134194.1902831968,180.0
35190051,563,72.4,291943.4141912191,170.0
35190052,2377,69.6,1288828.53311035,775.0
35190053,470,77.0,116656.29649448054,180.0
35190054,642,53.9,455512.22232189233,235.0
35190055,575,75.6,196062.18604675002,225.0
35190056,867,61.0,243949.99956721562,300.0
35190057,500,62.7,154348.21355473308,190.0
35190058,531,68.3,216416.5162350471,195.0
35190059,294,52.0,97989.77305955626,120.0
35190061,372,73.8,118470.08528390559,140.0
35190062,510,68.8,194675.31235778972,185.0
35190065,2324,79.4,4175816.0439053,790.0
35190066,522,59.6,16842137.306656368,170.0
35190067,780,75.2,21256938.05542647,260.0
35190068,534,63.1,20558120.9885136,155.0
35190069,508,77.1,20928233.667260997,170.0
35190070,353,61.3,13698849.07267367,120.0
35190071,955,82.9,13899973.072385326,330.0
35190072,1064,77.9,316969.59379941825,355.0
35190073,478,67.1,289025.6709378841,170.0
35190074,579,60.2,289855.90825299907,230.0
35190075,475,72.9,20946508.75291621,145.0
35190076,591,69.4,10562377.80778301,195.0
35190077,488,74.6,9591959.128378551,160.0
35190078,494,72.4,16728797.103380274,150.0
35190079,1031,69.4,6137619.726021038,330.0
35190080,505,70.1,384946.82365271205,160.0
35190081,424,81.0,322735.14721895754,135.0
35190082,469,68.8,3807952.7479254054,155.0
35190083,532,79.5,7432319.410873529,175.0
35190084,640,67.9,5885572.898333401,210.0
35190085,750,74.6,959638.893597857,240.0
35190086,239,87.5,71944.52698743842,80.0
35190087,369,75.9,103908.86191104236,115.0
35190088,1288,69.5,2839490.4170315755,415.0
35190089,404,67.7,113209.3847130982,120.0
35190090,528,76.0,193100.6655465122,175.0
35190091,314,71.4,155439.3780017668,105.0
35190092,434,73.8,5097417.8503322955,150.0
35190093,486,77.1,415035.87931646773,180.0
35190094,755,71.7,2203893.222656045,235.0
35190095,329,63.8,301863.4400094922,110.0
35190096,382,62.3,275257.9403396559,120.0
35190097,542,60.9,363105.59102491825,170.0
35190098,559,76.8,2163896.091756296,180.0
35190099,524,70.3,8363495.899249086,140.0
35190100,453,81.0,20509917.322119594,165.0
35190101,4171,76.3,3692411.8168503502,1315.0
35190102,479,69.2,129560.40859875701,150.0
35190103,965,76.0,237340.0269207955,275.0
35190104,454,65.9,119323.00649479106,160.0
35190105,663,78.4,185763.12154706285,220.0
35190106,584,80.6,76825.16325561336,230.0
35190107,671,66.1,95685.10314659087,255.0
35190108,654,64.5,270857.4828411184,215.0
35190109,391,64.6,332422.8355193147,160.0
35190110,463,70.1,160121.54330351393,145.0
35190111,763,68.9,457559.9332962179,245.0
35190112,358,77.8,309219.68102924427,105.0
35190113,470,70.7,335252.0473093886,130.0
35190114,1034,72.1,546535.4323669401,300.0
35190115,1123,84.2,200602.6809348305,375.0
35190117,619,70.1,328830.70308769983,230.0
